Date,Ret
2007-09-25,-0.008243763761862533
2007-09-26,-0.01606583603627343
2007-09-27,0.008148976963301191
2007-09-28,0.022308533203987624
2007-10-08,0.0009729229982393672
2007-10-09,0.010473615905055134
2007-10-10,-0.006377419051197375
2007-10-11,-0.02027793544851364
2007-10-12,-0.022797332053673847
2007-10-15,-0.00016150841499729118
2007-10-16,0.010829559423841228
2007-10-17,-0.0028366203376960497
2007-10-18,-0.023343779211674187
2007-10-19,-0.00010593083920906743
2007-10-22,-0.02610329309473791
2007-10-23,9.171783668748823e-05
2007-10-24,-0.019640106621804265
2007-10-25,-0.07508492625583718
2007-10-26,-0.005304249303245467
2007-10-29,0.014150807317000691
2007-10-30,0.023208882507393058
2007-10-31,0.03688330427518283
2007-11-01,-0.026171255090179812
2007-11-02,-0.022899059578673553
